freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.948e+01,3.641e+02,1.104e+02,5.040e+02
1.5,5.920e+01,2.485e+02,9.362e+01,4.013e+02
3.0,6.087e+01,6.003e+01,4.295e+01,1.638e+02
4.5,7.189e+01,3.190e+02,4.069e+01,4.316e+02
6.0,8.024e+01,1.289e+03,3.765e+01,1.407e+03
7.5,7.581e+01,2.149e+03,3.838e+01,2.263e+03
9.0,7.309e+01,3.115e+03,4.261e+01,3.230e+03
10.4,7.958e+01,4.445e+03,4.266e+01,4.568e+03
11.9,8.371e+01,6.362e+03,4.175e+01,6.488e+03
13.4,1.175e+02,8.211e+03,4.366e+01,8.372e+03
14.9,1.323e+02,9.570e+03,4.851e+01,9.751e+03
16.4,1.265e+02,1.124e+04,4.595e+01,1.141e+04
17.9,1.408e+02,1.385e+04,4.606e+01,1.404e+04
19.4,1.779e+02,1.739e+04,4.373e+01,1.761e+04
20.9,2.004e+02,2.162e+04,4.264e+01,2.186e+04
22.4,2.260e+02,2.650e+04,4.139e+01,2.677e+04
23.9,2.788e+02,3.252e+04,4.922e+01,3.285e+04
25.4,3.292e+02,3.987e+04,5.645e+01,4.025e+04
26.9,3.672e+02,4.903e+04,8.106e+01,4.948e+04
28.3,4.537e+02,6.090e+04,1.507e+02,6.150e+04
29.8,6.335e+02,7.728e+04,3.358e+02,7.825e+04
31.3,9.174e+02,1.011e+05,7.487e+02,1.028e+05
32.8,1.364e+03,1.365e+05,1.623e+03,1.395e+05
34.3,2.170e+03,1.911e+05,3.140e+03,1.964e+05
35.8,3.351e+03,2.903e+05,6.205e+03,2.998e+05
37.3,5.507e+03,5.040e+05,2.022e+04,5.297e+05
38.8,7.730e+03,7.620e+05,6.335e+04,8.330e+05
40.3,9.315e+03,7.286e+05,1.002e+05,8.381e+05
41.8,8.998e+03,6.012e+05,1.225e+05,7.327e+05
43.3,5.040e+03,4.756e+05,1.430e+05,6.237e+05
44.8,2.496e+03,3.277e+05,1.705e+05,5.006e+05
46.3,1.711e+03,1.801e+05,1.990e+05,3.807e+05
47.7,1.063e+03,8.655e+04,2.388e+05,3.265e+05
49.2,1.028e+03,8.063e+04,3.009e+05,3.825e+05
50.7,1.898e+03,1.821e+05,3.725e+05,5.565e+05
52.2,1.760e+03,3.158e+05,3.659e+05,6.835e+05
53.7,2.231e+03,2.907e+05,2.387e+05,5.316e+05
55.2,3.218e+03,1.819e+05,1.394e+05,3.245e+05
56.7,2.617e+03,1.146e+05,7.925e+04,1.965e+05
58.2,2.042e+03,8.900e+04,4.905e+04,1.401e+05
59.7,2.078e+03,8.654e+04,3.866e+04,1.273e+05
61.2,2.254e+03,9.050e+04,3.492e+04,1.277e+05
62.7,2.271e+03,9.762e+04,3.274e+04,1.326e+05
64.2,2.206e+03,1.036e+05,3.109e+04,1.369e+05
65.7,2.164e+03,1.017e+05,2.794e+04,1.318e+05
67.1,1.957e+03,9.566e+04,2.363e+04,1.213e+05
68.6,1.771e+03,9.020e+04,1.969e+04,1.117e+05
70.1,1.996e+03,8.740e+04,1.650e+04,1.059e+05
71.6,2.550e+03,8.400e+04,1.375e+04,1.003e+05
73.1,2.626e+03,7.555e+04,1.080e+04,8.898e+04
74.6,2.682e+03,6.780e+04,8.843e+03,7.933e+04
76.1,2.345e+03,6.275e+04,8.190e+03,7.328e+04
77.6,1.737e+03,5.396e+04,7.829e+03,6.352e+04
79.1,1.479e+03,4.457e+04,7.036e+03,5.309e+04
80.6,1.079e+03,3.751e+04,6.146e+03,4.473e+04
82.1,6.675e+02,3.346e+04,5.302e+03,3.943e+04
83.6,4.780e+02,3.358e+04,4.677e+03,3.873e+04
85.0,4.849e+02,3.646e+04,4.322e+03,4.127e+04
86.5,7.277e+02,3.629e+04,3.054e+03,4.008e+04
88.0,1.085e+03,3.411e+04,2.039e+03,3.723e+04
89.5,2.716e+03,4.274e+04,1.761e+03,4.722e+04
91.0,4.498e+03,4.707e+04,2.045e+03,5.362e+04
92.5,5.268e+03,4.518e+04,2.535e+03,5.298e+04
94.0,7.273e+03,5.409e+04,3.069e+03,6.443e+04
95.5,1.142e+04,6.084e+04,4.554e+03,7.680e+04
97.0,1.559e+04,5.819e+04,6.047e+03,7.982e+04
98.5,1.739e+04,5.317e+04,6.520e+03,7.708e+04
100.0,2.246e+04,4.642e+04,8.162e+03,7.704e+04
101.5,3.180e+04,4.194e+04,1.197e+04,8.571e+04
103.0,3.633e+04,3.616e+04,1.425e+04,8.674e+04
104.4,4.756e+04,4.084e+04,1.856e+04,1.070e+05
105.9,5.482e+04,4.814e+04,2.113e+04,1.241e+05
107.4,5.134e+04,4.757e+04,1.948e+04,1.184e+05
108.9,5.034e+04,4.701e+04,1.882e+04,1.162e+05
110.4,5.052e+04,4.371e+04,1.845e+04,1.127e+05
111.9,5.848e+04,3.956e+04,2.022e+04,1.183e+05
113.4,7.431e+04,3.595e+04,2.429e+04,1.345e+05
114.9,1.116e+05,3.383e+04,3.509e+04,1.805e+05
116.4,1.654e+05,3.277e+04,5.132e+04,2.495e+05
117.9,1.969e+05,2.972e+04,5.987e+04,2.865e+05
119.4,2.098e+05,2.685e+04,6.238e+04,2.990e+05
120.9,2.200e+05,2.679e+04,6.548e+04,3.122e+05
122.3,2.261e+05,2.757e+04,6.904e+04,3.227e+05
123.8,2.252e+05,2.833e+04,7.022e+04,3.237e+05
125.3,2.232e+05,2.720e+04,7.169e+04,3.221e+05
126.8,2.247e+05,2.394e+04,7.366e+04,3.223e+05
128.3,2.334e+05,2.205e+04,7.778e+04,3.332e+05
129.8,2.382e+05,1.935e+04,8.006e+04,3.377e+05
131.3,2.126e+05,1.553e+04,7.158e+04,2.997e+05
132.8,9.501e+04,1.093e+04,3.195e+04,1.379e+05
134.3,3.120e+04,9.448e+03,1.063e+04,5.127e+04
135.8,2.920e+04,9.810e+03,1.020e+04,4.920e+04
137.3,2.787e+04,6.929e+03,9.210e+03,4.401e+04
138.8,2.502e+04,5.868e+03,7.623e+03,3.851e+04
140.3,2.273e+04,7.183e+03,6.644e+03,3.656e+04
141.7,2.118e+04,9.350e+03,6.088e+03,3.662e+04
143.2,2.255e+04,1.463e+04,6.217e+03,4.339e+04
144.7,2.100e+04,2.104e+04,5.833e+03,4.787e+04
146.2,1.560e+04,2.373e+04,4.317e+03,4.365e+04
147.7,1.059e+04,2.705e+04,3.139e+03,4.077e+04
149.2,9.241e+03,3.707e+04,3.123e+03,4.944e+04
150.7,7.458e+03,4.752e+04,3.246e+03,5.823e+04
152.2,5.862e+03,4.939e+04,3.606e+03,5.886e+04
153.7,5.479e+03,4.308e+04,3.978e+03,5.254e+04
155.2,5.271e+03,3.526e+04,3.964e+03,4.449e+04
156.7,4.773e+03,2.716e+04,3.628e+03,3.556e+04
158.2,5.208e+03,2.329e+04,3.863e+03,3.236e+04
159.7,7.282e+03,2.482e+04,4.927e+03,3.702e+04
161.1,8.552e+03,2.342e+04,5.201e+03,3.717e+04
162.6,7.406e+03,2.129e+04,4.477e+03,3.318e+04
164.1,5.763e+03,1.966e+04,3.972e+03,2.939e+04
165.6,5.458e+03,2.173e+04,4.372e+03,3.156e+04
167.1,5.017e+03,2.333e+04,4.251e+03,3.260e+04
168.6,4.129e+03,1.812e+04,3.337e+03,2.558e+04
170.1,4.008e+03,1.467e+04,3.103e+03,2.178e+04
171.6,3.869e+03,1.293e+04,2.920e+03,1.972e+04
173.1,3.510e+03,1.149e+04,2.671e+03,1.767e+04
174.6,3.331e+03,1.096e+04,2.575e+03,1.687e+04
176.1,3.217e+03,1.043e+04,2.432e+03,1.608e+04
177.6,3.217e+03,8.793e+03,2.172e+03,1.418e+04
179.0,3.987e+03,9.643e+03,2.668e+03,1.630e+04
180.5,4.319e+03,1.116e+04,2.992e+03,1.847e+04
182.0,4.177e+03,1.158e+04,2.978e+03,1.874e+04
183.5,3.856e+03,1.159e+04,2.849e+03,1.830e+04
185.0,3.768e+03,1.127e+04,2.618e+03,1.765e+04
186.5,4.446e+03,1.210e+04,2.729e+03,1.927e+04
188.0,4.981e+03,1.194e+04,2.927e+03,1.985e+04
189.5,5.003e+03,1.146e+04,2.901e+03,1.936e+04
191.0,5.366e+03,1.226e+04,3.143e+03,2.077e+04
192.5,5.846e+03,1.332e+04,3.411e+03,2.257e+04
194.0,5.909e+03,1.334e+04,3.533e+03,2.279e+04
195.5,5.689e+03,1.270e+04,3.300e+03,2.169e+04
197.0,5.627e+03,1.240e+04,3.098e+03,2.112e+04
198.4,5.755e+03,1.219e+04,3.120e+03,2.106e+04
199.9,5.842e+03,1.185e+04,3.347e+03,2.104e+04
