freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.835e+02,2.533e+03,1.511e+03,4.328e+03
1.5,1.819e+03,8.865e+03,6.064e+03,1.675e+04
3.1,2.177e+03,1.119e+04,7.465e+03,2.083e+04
4.6,2.146e+03,8.772e+03,5.220e+03,1.614e+04
6.2,1.800e+03,9.826e+03,4.191e+03,1.582e+04
7.7,1.516e+03,9.924e+03,5.116e+03,1.656e+04
9.2,1.722e+03,9.920e+03,4.764e+03,1.641e+04
10.8,1.925e+03,1.419e+04,4.452e+03,2.057e+04
12.3,1.887e+03,1.852e+04,5.796e+03,2.620e+04
13.8,2.142e+03,1.998e+04,7.160e+03,2.929e+04
15.4,1.561e+03,2.321e+04,7.372e+03,3.214e+04
16.9,1.691e+03,2.319e+04,5.650e+03,3.053e+04
18.5,2.011e+03,2.133e+04,5.090e+03,2.843e+04
20.0,2.360e+03,3.080e+04,5.010e+03,3.817e+04
21.5,2.589e+03,3.717e+04,5.463e+03,4.522e+04
23.1,3.211e+03,4.314e+04,9.980e+03,5.633e+04
24.6,2.962e+03,5.600e+04,1.064e+04,6.959e+04
26.2,2.521e+03,6.221e+04,1.005e+04,7.478e+04
27.7,2.439e+03,7.007e+04,6.431e+03,7.894e+04
29.2,2.163e+03,8.544e+04,5.769e+03,9.337e+04
30.8,1.900e+03,1.114e+05,6.847e+03,1.201e+05
32.3,2.599e+03,1.442e+05,7.975e+03,1.547e+05
33.8,3.502e+03,1.913e+05,8.417e+03,2.032e+05
35.4,4.040e+03,2.686e+05,1.004e+04,2.827e+05
36.9,4.907e+03,4.229e+05,1.695e+04,4.448e+05
38.5,6.266e+03,6.526e+05,8.549e+04,7.444e+05
40.0,5.186e+03,5.904e+05,2.152e+05,8.109e+05
41.5,4.216e+03,4.689e+05,3.390e+05,8.121e+05
43.1,4.417e+03,5.323e+05,4.763e+05,1.013e+06
44.6,5.567e+03,6.765e+05,6.220e+05,1.304e+06
46.2,9.611e+03,9.946e+05,8.273e+05,1.832e+06
47.7,1.125e+04,1.364e+06,8.965e+05,2.272e+06
49.2,7.752e+03,1.503e+06,8.063e+05,2.317e+06
50.8,4.667e+03,1.451e+06,6.480e+05,2.103e+06
52.3,6.189e+03,1.233e+06,4.945e+05,1.734e+06
53.9,5.817e+03,9.961e+05,3.491e+05,1.351e+06
55.4,5.096e+03,8.153e+05,2.532e+05,1.074e+06
56.9,4.665e+03,6.783e+05,1.828e+05,8.657e+05
58.5,4.076e+03,5.465e+05,1.268e+05,6.774e+05
60.0,4.831e+03,4.362e+05,8.907e+04,5.301e+05
61.5,4.771e+03,3.625e+05,6.188e+04,4.292e+05
63.1,4.654e+03,3.136e+05,4.698e+04,3.652e+05
64.6,4.405e+03,2.572e+05,3.586e+04,2.974e+05
66.2,4.315e+03,2.265e+05,2.915e+04,2.600e+05
67.7,4.518e+03,2.104e+05,2.427e+04,2.392e+05
69.2,4.114e+03,1.815e+05,2.096e+04,2.066e+05
70.8,4.372e+03,1.629e+05,1.957e+04,1.868e+05
72.3,4.677e+03,1.598e+05,1.990e+04,1.843e+05
73.9,5.056e+03,1.586e+05,1.804e+04,1.817e+05
75.4,6.199e+03,1.502e+05,1.609e+04,1.725e+05
76.9,7.189e+03,1.570e+05,1.355e+04,1.778e+05
78.5,8.992e+03,1.925e+05,1.905e+04,2.206e+05
80.0,1.424e+04,1.651e+05,2.485e+04,2.042e+05
81.5,1.996e+04,1.454e+05,2.400e+04,1.893e+05
83.1,2.748e+04,1.506e+05,2.034e+04,1.984e+05
84.6,3.747e+04,1.675e+05,1.891e+04,2.239e+05
86.2,4.748e+04,1.870e+05,1.393e+04,2.484e+05
87.7,5.327e+04,2.117e+05,8.948e+03,2.739e+05
89.2,5.289e+04,1.940e+05,7.972e+03,2.548e+05
90.8,4.840e+04,2.075e+05,8.173e+03,2.640e+05
92.3,2.967e+04,1.833e+05,8.707e+03,2.217e+05
93.9,1.725e+04,1.498e+05,1.297e+04,1.801e+05
95.4,1.537e+04,1.499e+05,1.835e+04,1.836e+05
96.9,1.555e+04,1.501e+05,1.663e+04,1.823e+05
98.5,1.306e+04,1.180e+05,1.457e+04,1.456e+05
100.0,1.236e+04,8.449e+04,1.281e+04,1.097e+05
101.5,1.278e+04,8.242e+04,1.329e+04,1.085e+05
103.1,1.528e+04,7.215e+04,9.760e+03,9.719e+04
104.6,1.696e+04,6.360e+04,8.053e+03,8.861e+04
106.2,1.483e+04,5.870e+04,8.614e+03,8.214e+04
107.7,1.423e+04,5.586e+04,9.361e+03,7.944e+04
109.2,1.413e+04,5.350e+04,9.389e+03,7.702e+04
110.8,1.375e+04,5.233e+04,8.015e+03,7.409e+04
112.3,1.309e+04,4.724e+04,7.883e+03,6.821e+04
113.9,1.232e+04,4.895e+04,8.409e+03,6.968e+04
115.4,1.229e+04,4.671e+04,8.942e+03,6.794e+04
116.9,1.694e+04,5.200e+04,1.347e+04,8.242e+04
118.5,1.958e+04,5.649e+04,1.419e+04,9.026e+04
120.0,2.208e+04,5.383e+04,1.328e+04,8.919e+04
121.6,2.431e+04,5.873e+04,1.475e+04,9.779e+04
123.1,2.735e+04,6.564e+04,1.863e+04,1.116e+05
124.6,3.008e+04,8.284e+04,2.598e+04,1.389e+05
126.2,3.384e+04,1.130e+05,3.485e+04,1.817e+05
127.7,3.588e+04,1.352e+05,3.658e+04,2.077e+05
129.2,4.127e+04,1.440e+05,3.660e+04,2.219e+05
130.8,5.230e+04,1.357e+05,3.220e+04,2.203e+05
132.3,4.774e+04,1.049e+05,2.344e+04,1.761e+05
133.9,3.079e+04,6.156e+04,1.194e+04,1.043e+05
135.4,2.513e+04,4.700e+04,9.609e+03,8.174e+04
136.9,2.616e+04,4.394e+04,8.893e+03,7.899e+04
138.5,3.653e+04,4.914e+04,1.059e+04,9.625e+04
140.0,4.283e+04,4.783e+04,1.240e+04,1.030e+05
141.6,3.373e+04,3.647e+04,1.126e+04,8.147e+04
143.1,3.570e+04,3.448e+04,1.176e+04,8.195e+04
144.6,3.756e+04,3.397e+04,1.231e+04,8.384e+04
146.2,3.457e+04,3.212e+04,1.299e+04,7.968e+04
147.7,3.182e+04,3.285e+04,1.224e+04,7.691e+04
149.2,3.310e+04,3.341e+04,1.235e+04,7.886e+04
150.8,3.677e+04,3.972e+04,1.333e+04,8.982e+04
