freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.242e+02,1.082e+02,1.456e+02,6.780e+02
1.5,3.007e+02,4.160e+02,9.046e+02,1.621e+03
3.0,7.845e+01,4.288e+02,9.793e+02,1.487e+03
4.5,3.489e+02,4.483e+02,1.099e+03,1.896e+03
5.9,1.279e+03,5.142e+02,1.161e+03,2.954e+03
7.4,1.941e+03,4.307e+02,7.746e+02,3.146e+03
8.9,2.667e+03,3.539e+02,9.582e+02,3.979e+03
10.4,3.650e+03,4.627e+02,1.239e+03,5.352e+03
11.9,4.816e+03,5.043e+02,1.118e+03,6.438e+03
13.4,6.214e+03,4.943e+02,1.155e+03,7.864e+03
14.9,7.830e+03,5.432e+02,1.167e+03,9.540e+03
16.3,9.802e+03,5.043e+02,1.096e+03,1.140e+04
17.8,1.227e+04,4.343e+02,8.889e+02,1.359e+04
19.3,1.483e+04,4.862e+02,9.132e+02,1.623e+04
20.8,1.759e+04,4.236e+02,9.074e+02,1.892e+04
22.3,2.088e+04,3.846e+02,1.050e+03,2.231e+04
23.8,2.450e+04,3.819e+02,1.126e+03,2.601e+04
25.3,2.864e+04,3.601e+02,8.854e+02,2.989e+04
26.8,3.365e+04,4.544e+02,7.577e+02,3.487e+04
28.2,3.942e+04,4.407e+02,7.210e+02,4.058e+04
29.7,4.618e+04,3.952e+02,7.098e+02,4.729e+04
31.2,5.428e+04,3.206e+02,7.712e+02,5.537e+04
32.7,6.342e+04,3.995e+02,1.089e+03,6.491e+04
34.2,7.446e+04,3.994e+02,8.681e+02,7.573e+04
35.7,8.841e+04,4.809e+02,8.988e+02,8.979e+04
37.2,1.061e+05,6.110e+02,1.164e+03,1.079e+05
38.6,1.276e+05,8.254e+02,1.588e+03,1.300e+05
40.1,1.563e+05,1.780e+03,1.946e+03,1.600e+05
41.6,1.920e+05,6.078e+03,3.565e+03,2.016e+05
43.1,2.302e+05,1.257e+04,5.378e+03,2.482e+05
44.6,2.813e+05,1.323e+04,5.155e+03,2.997e+05
46.1,3.562e+05,1.094e+04,4.458e+03,3.716e+05
47.6,4.675e+05,1.091e+04,5.317e+03,4.837e+05
49.0,6.340e+05,1.429e+04,8.379e+03,6.566e+05
50.5,8.894e+05,1.847e+04,1.411e+04,9.220e+05
52.0,1.170e+06,2.472e+04,2.061e+04,1.215e+06
53.5,1.258e+06,1.889e+04,1.707e+04,1.294e+06
55.0,1.191e+06,1.174e+04,1.249e+04,1.215e+06
56.5,1.133e+06,8.543e+03,9.132e+03,1.151e+06
58.0,1.022e+06,5.831e+03,6.034e+03,1.034e+06
59.5,8.792e+05,3.666e+03,3.852e+03,8.867e+05
60.9,7.142e+05,3.143e+03,2.498e+03,7.198e+05
62.4,5.748e+05,4.832e+03,1.884e+03,5.815e+05
63.9,4.697e+05,7.411e+03,1.489e+03,4.786e+05
65.4,3.815e+05,8.835e+03,1.359e+03,3.917e+05
66.9,3.064e+05,8.223e+03,2.040e+03,3.166e+05
68.4,2.359e+05,6.381e+03,2.332e+03,2.447e+05
69.9,1.811e+05,6.230e+03,2.127e+03,1.894e+05
71.3,1.555e+05,8.158e+03,1.773e+03,1.655e+05
72.8,1.744e+05,1.333e+04,1.542e+03,1.893e+05
74.3,2.362e+05,2.136e+04,1.401e+03,2.589e+05
75.8,2.771e+05,2.743e+04,1.151e+03,3.056e+05
77.3,2.566e+05,2.745e+04,1.019e+03,2.851e+05
78.8,2.136e+05,2.527e+04,1.076e+03,2.400e+05
80.3,1.873e+05,2.509e+04,1.157e+03,2.136e+05
81.7,1.718e+05,2.441e+04,1.515e+03,1.977e+05
83.2,1.616e+05,2.407e+04,1.928e+03,1.876e+05
84.7,1.411e+05,2.473e+04,3.009e+03,1.688e+05
86.2,1.247e+05,2.505e+04,5.045e+03,1.548e+05
87.7,1.152e+05,2.714e+04,7.713e+03,1.501e+05
89.2,1.033e+05,2.127e+04,9.929e+03,1.345e+05
90.7,9.615e+04,1.583e+04,1.276e+04,1.247e+05
92.1,8.717e+04,1.086e+04,1.526e+04,1.133e+05
93.6,7.325e+04,6.053e+03,1.644e+04,9.574e+04
95.1,5.943e+04,3.770e+03,1.676e+04,7.996e+04
96.6,4.574e+04,3.264e+03,1.617e+04,6.517e+04
98.1,3.993e+04,3.469e+03,1.454e+04,5.794e+04
99.6,3.053e+04,4.536e+03,1.469e+04,4.976e+04
101.1,2.630e+04,6.725e+03,1.733e+04,5.035e+04
102.6,2.511e+04,8.261e+03,1.836e+04,5.173e+04
104.0,2.332e+04,1.183e+04,1.964e+04,5.480e+04
105.5,2.004e+04,1.504e+04,2.087e+04,5.594e+04
107.0,1.875e+04,1.155e+04,2.139e+04,5.170e+04
108.5,1.867e+04,8.826e+03,2.167e+04,4.916e+04
110.0,1.751e+04,1.085e+04,2.256e+04,5.092e+04
111.5,1.627e+04,1.230e+04,2.312e+04,5.169e+04
113.0,1.567e+04,1.243e+04,2.390e+04,5.201e+04
114.4,1.542e+04,1.233e+04,2.546e+04,5.321e+04
115.9,1.482e+04,1.183e+04,2.637e+04,5.303e+04
117.4,1.543e+04,1.202e+04,2.791e+04,5.535e+04
118.9,1.683e+04,1.286e+04,3.087e+04,6.056e+04
120.4,1.918e+04,1.382e+04,3.459e+04,6.759e+04
121.9,2.073e+04,1.439e+04,3.611e+04,7.124e+04
123.4,2.317e+04,1.513e+04,3.812e+04,7.642e+04
124.8,2.685e+04,1.634e+04,4.050e+04,8.369e+04
126.3,3.120e+04,1.804e+04,4.277e+04,9.201e+04
127.8,3.690e+04,2.008e+04,4.462e+04,1.016e+05
129.3,4.354e+04,2.177e+04,4.635e+04,1.117e+05
130.8,4.935e+04,2.265e+04,4.645e+04,1.184e+05
132.3,3.680e+04,1.615e+04,3.151e+04,8.445e+04
133.8,9.437e+03,4.305e+03,7.364e+03,2.111e+04
135.3,4.858e+03,2.123e+03,3.371e+03,1.035e+04
136.7,4.924e+03,1.956e+03,3.408e+03,1.029e+04
138.2,5.196e+03,1.844e+03,3.422e+03,1.046e+04
139.7,5.211e+03,1.817e+03,3.248e+03,1.028e+04
141.2,6.215e+03,1.923e+03,3.629e+03,1.177e+04
142.7,7.685e+03,2.205e+03,4.534e+03,1.442e+04
144.2,8.957e+03,2.504e+03,5.473e+03,1.693e+04
145.7,9.755e+03,2.653e+03,5.691e+03,1.810e+04
147.1,1.143e+04,3.302e+03,6.393e+03,2.113e+04
148.6,1.208e+04,4.629e+03,6.332e+03,2.304e+04
150.1,1.380e+04,6.994e+03,6.356e+03,2.715e+04
151.6,1.585e+04,9.253e+03,6.925e+03,3.203e+04
153.1,1.603e+04,1.208e+04,6.965e+03,3.507e+04
154.6,1.796e+04,1.459e+04,8.044e+03,4.060e+04
156.1,1.994e+04,1.672e+04,9.610e+03,4.628e+04
157.5,2.209e+04,1.951e+04,9.456e+03,5.105e+04
159.0,2.610e+04,1.595e+04,1.072e+04,5.277e+04
160.5,3.429e+04,1.287e+04,1.361e+04,6.077e+04
162.0,4.230e+04,1.279e+04,1.653e+04,7.162e+04
163.5,4.263e+04,1.273e+04,1.674e+04,7.210e+04
165.0,4.009e+04,1.409e+04,1.412e+04,6.831e+04
166.5,4.476e+04,1.627e+04,1.486e+04,7.588e+04
168.0,5.601e+04,1.679e+04,1.875e+04,9.155e+04
169.4,4.784e+04,1.621e+04,1.573e+04,7.978e+04
170.9,3.958e+04,1.626e+04,1.367e+04,6.951e+04
172.4,3.638e+04,1.607e+04,1.225e+04,6.469e+04
173.9,3.272e+04,1.696e+04,1.098e+04,6.065e+04
175.4,3.218e+04,1.629e+04,1.037e+04,5.884e+04
176.9,3.073e+04,1.569e+04,1.003e+04,5.645e+04
178.4,2.987e+04,1.414e+04,9.756e+03,5.377e+04
179.8,2.817e+04,1.263e+04,9.261e+03,5.007e+04
181.3,2.541e+04,1.106e+04,8.696e+03,4.516e+04
182.8,2.265e+04,9.663e+03,7.926e+03,4.024e+04
184.3,1.999e+04,9.054e+03,7.238e+03,3.628e+04
185.8,1.628e+04,8.493e+03,6.069e+03,3.084e+04
187.3,1.293e+04,8.851e+03,5.003e+03,2.679e+04
188.8,1.155e+04,1.004e+04,4.521e+03,2.612e+04
190.2,1.269e+04,1.115e+04,5.008e+03,2.885e+04
191.7,1.116e+04,9.730e+03,4.196e+03,2.508e+04
193.2,6.399e+03,8.659e+03,2.637e+03,1.770e+04
194.7,5.117e+03,9.798e+03,2.320e+03,1.724e+04
196.2,5.510e+03,1.241e+04,2.547e+03,2.046e+04
197.7,9.803e+03,1.635e+04,4.205e+03,3.036e+04
199.2,1.345e+04,1.946e+04,5.741e+03,3.865e+04
