freq,psd_x,psd_y,psd_z,psd_xyz
151.6,2.066e+04,1.478e+04,1.102e+04,4.646e+04
153.1,1.994e+04,1.188e+04,8.933e+03,4.075e+04
154.5,2.000e+04,1.255e+04,1.335e+04,4.590e+04
156.0,1.972e+04,1.158e+04,1.395e+04,4.526e+04
157.5,1.825e+04,8.480e+03,8.937e+03,3.567e+04
159.0,2.136e+04,5.954e+03,1.021e+04,3.752e+04
160.5,2.393e+04,5.570e+03,1.496e+04,4.446e+04
162.0,2.430e+04,6.732e+03,1.622e+04,4.725e+04
163.5,2.221e+04,6.859e+03,1.330e+04,4.237e+04
164.9,2.234e+04,5.653e+03,1.068e+04,3.868e+04
166.4,2.252e+04,4.466e+03,1.098e+04,3.797e+04
167.9,2.179e+04,5.129e+03,1.248e+04,3.940e+04
169.4,2.125e+04,6.489e+03,1.252e+04,4.026e+04
170.9,2.053e+04,5.971e+03,9.520e+03,3.602e+04
172.4,2.023e+04,6.240e+03,8.614e+03,3.508e+04
173.9,1.913e+04,7.475e+03,1.198e+04,3.858e+04
175.3,1.993e+04,8.674e+03,1.451e+04,4.311e+04
176.8,2.012e+04,7.677e+03,9.580e+03,3.737e+04
178.3,2.056e+04,6.059e+03,1.041e+04,3.703e+04
179.8,2.185e+04,6.169e+03,1.219e+04,4.022e+04
181.3,2.094e+04,6.230e+03,1.065e+04,3.783e+04
182.8,2.190e+04,6.738e+03,1.109e+04,3.972e+04
184.3,2.276e+04,7.548e+03,1.130e+04,4.161e+04
185.7,2.547e+04,1.632e+04,1.184e+04,5.363e+04
187.2,3.784e+04,3.869e+04,1.645e+04,9.298e+04
188.7,4.115e+04,3.573e+04,1.224e+04,8.911e+04
190.2,3.139e+04,2.274e+04,8.600e+03,6.273e+04
191.7,2.993e+04,1.319e+04,1.280e+04,5.592e+04
193.2,2.606e+04,9.523e+03,1.229e+04,4.787e+04
194.7,2.517e+04,9.461e+03,1.079e+04,4.541e+04
196.2,2.639e+04,9.673e+03,1.365e+04,4.972e+04
197.6,2.304e+04,9.304e+03,1.285e+04,4.520e+04
199.1,2.103e+04,1.274e+04,1.133e+04,4.510e+04
