freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.135e+03,5.767e+02,3.770e+02,2.088e+03
1.5,5.543e+03,3.579e+03,3.312e+03,1.243e+04
3.1,5.481e+03,3.783e+03,2.980e+03,1.224e+04
4.6,4.355e+03,3.504e+03,2.118e+03,9.977e+03
6.2,5.038e+03,3.610e+03,1.876e+03,1.052e+04
7.7,5.846e+03,3.633e+03,1.943e+03,1.142e+04
9.2,6.702e+03,3.592e+03,1.977e+03,1.227e+04
10.8,7.906e+03,3.734e+03,1.987e+03,1.363e+04
12.3,9.352e+03,4.291e+03,2.130e+03,1.577e+04
13.9,1.033e+04,4.707e+03,2.209e+03,1.725e+04
15.4,1.205e+04,4.445e+03,2.040e+03,1.853e+04
16.9,1.448e+04,4.964e+03,2.269e+03,2.171e+04
18.5,1.729e+04,5.570e+03,2.433e+03,2.529e+04
20.0,1.982e+04,6.129e+03,2.482e+03,2.843e+04
21.5,2.244e+04,6.276e+03,2.388e+03,3.110e+04
23.1,2.545e+04,6.087e+03,2.298e+03,3.383e+04
24.6,2.971e+04,6.646e+03,2.174e+03,3.853e+04
26.2,3.432e+04,6.489e+03,2.221e+03,4.303e+04
27.7,4.082e+04,7.980e+03,2.368e+03,5.117e+04
29.2,4.716e+04,7.512e+03,2.443e+03,5.712e+04
30.8,5.480e+04,7.151e+03,2.547e+03,6.450e+04
32.3,6.608e+04,7.690e+03,2.684e+03,7.645e+04
33.9,7.613e+04,7.175e+03,2.575e+03,8.588e+04
35.4,8.618e+04,6.875e+03,2.318e+03,9.538e+04
36.9,1.010e+05,6.822e+03,2.550e+03,1.103e+05
38.5,1.188e+05,7.025e+03,2.789e+03,1.286e+05
40.0,1.414e+05,6.975e+03,3.245e+03,1.517e+05
41.6,1.736e+05,7.388e+03,3.775e+03,1.847e+05
43.1,2.091e+05,9.560e+03,4.644e+03,2.233e+05
44.6,2.638e+05,1.288e+04,5.144e+03,2.819e+05
46.2,3.463e+05,1.658e+04,5.293e+03,3.681e+05
47.7,4.755e+05,2.032e+04,5.817e+03,5.017e+05
49.3,6.783e+05,2.877e+04,8.687e+03,7.158e+05
50.8,9.492e+05,5.351e+04,2.002e+04,1.023e+06
52.3,1.059e+06,7.544e+04,3.447e+04,1.169e+06
53.9,1.019e+06,6.499e+04,3.288e+04,1.117e+06
55.4,9.307e+05,5.137e+04,2.830e+04,1.010e+06
56.9,8.040e+05,4.003e+04,2.555e+04,8.696e+05
58.5,6.528e+05,2.886e+04,2.254e+04,7.042e+05
60.0,5.067e+05,1.550e+04,1.558e+04,5.378e+05
61.6,3.908e+05,1.042e+04,8.908e+03,4.102e+05
63.1,3.215e+05,1.311e+04,7.346e+03,3.420e+05
64.6,2.444e+05,1.478e+04,9.571e+03,2.688e+05
66.2,1.771e+05,1.401e+04,1.230e+04,2.034e+05
67.7,1.572e+05,1.139e+04,1.175e+04,1.803e+05
69.3,1.598e+05,1.371e+04,1.062e+04,1.842e+05
70.8,1.840e+05,2.055e+04,8.765e+03,2.133e+05
72.3,2.245e+05,3.040e+04,7.952e+03,2.628e+05
73.9,2.463e+05,4.191e+04,6.944e+03,2.952e+05
75.4,2.299e+05,4.696e+04,5.981e+03,2.829e+05
77.0,1.964e+05,4.669e+04,5.323e+03,2.484e+05
78.5,1.496e+05,5.214e+04,4.642e+03,2.063e+05
80.0,1.359e+05,5.528e+04,4.668e+03,1.958e+05
81.6,1.158e+05,5.010e+04,4.720e+03,1.706e+05
83.1,1.016e+05,4.797e+04,5.639e+03,1.552e+05
84.6,9.375e+04,4.783e+04,7.509e+03,1.491e+05
86.2,8.492e+04,4.065e+04,9.944e+03,1.355e+05
87.7,6.939e+04,2.798e+04,1.601e+04,1.134e+05
89.3,5.903e+04,1.843e+04,2.028e+04,9.775e+04
90.8,5.437e+04,1.295e+04,1.965e+04,8.696e+04
92.3,3.909e+04,1.197e+04,1.814e+04,6.919e+04
93.9,3.372e+04,1.115e+04,1.992e+04,6.480e+04
95.4,3.424e+04,1.213e+04,2.119e+04,6.757e+04
97.0,3.085e+04,1.538e+04,2.294e+04,6.916e+04
98.5,2.824e+04,1.727e+04,2.832e+04,7.383e+04
100.0,3.216e+04,2.038e+04,2.326e+04,7.580e+04
101.6,2.922e+04,2.474e+04,2.131e+04,7.527e+04
103.1,2.775e+04,2.722e+04,2.221e+04,7.718e+04
104.7,2.903e+04,2.831e+04,2.392e+04,8.126e+04
106.2,3.033e+04,2.899e+04,2.735e+04,8.668e+04
107.7,3.363e+04,2.786e+04,2.981e+04,9.129e+04
109.3,3.824e+04,2.898e+04,3.045e+04,9.768e+04
110.8,4.164e+04,2.762e+04,3.197e+04,1.012e+05
112.4,4.767e+04,2.522e+04,3.474e+04,1.076e+05
113.9,5.208e+04,2.742e+04,3.589e+04,1.154e+05
115.4,5.963e+04,3.102e+04,3.797e+04,1.286e+05
117.0,6.624e+04,3.199e+04,3.888e+04,1.371e+05
118.5,7.674e+04,3.199e+04,4.127e+04,1.500e+05
120.0,9.422e+04,3.138e+04,4.498e+04,1.706e+05
121.6,1.149e+05,3.060e+04,4.928e+04,1.947e+05
123.1,1.411e+05,3.153e+04,5.406e+04,2.266e+05
124.7,1.637e+05,3.316e+04,5.808e+04,2.549e+05
126.2,1.789e+05,3.281e+04,6.107e+04,2.728e+05
127.7,1.864e+05,3.557e+04,6.227e+04,2.843e+05
129.3,1.914e+05,3.990e+04,6.542e+04,2.967e+05
130.8,1.935e+05,3.902e+04,6.515e+04,2.977e+05
132.4,1.513e+05,3.109e+04,4.468e+04,2.271e+05
133.9,7.172e+04,2.123e+04,1.630e+04,1.092e+05
135.4,5.120e+04,1.921e+04,1.205e+04,8.247e+04
137.0,5.418e+04,2.094e+04,1.343e+04,8.855e+04
138.5,5.746e+04,2.406e+04,1.439e+04,9.591e+04
140.1,4.984e+04,2.407e+04,1.306e+04,8.697e+04
141.6,4.666e+04,2.300e+04,1.188e+04,8.155e+04
143.1,4.943e+04,2.183e+04,1.203e+04,8.329e+04
144.7,4.911e+04,2.116e+04,1.187e+04,8.215e+04
146.2,4.663e+04,1.963e+04,1.102e+04,7.728e+04
147.8,4.319e+04,1.960e+04,1.014e+04,7.293e+04
149.3,4.891e+04,2.168e+04,1.179e+04,8.238e+04
150.8,4.592e+04,2.528e+04,1.091e+04,8.212e+04
152.4,4.295e+04,2.879e+04,9.683e+03,8.142e+04
153.9,5.146e+04,3.219e+04,1.195e+04,9.561e+04
155.4,6.098e+04,3.673e+04,1.437e+04,1.121e+05
157.0,7.680e+04,4.141e+04,1.723e+04,1.354e+05
158.5,7.881e+04,4.252e+04,1.801e+04,1.393e+05
160.1,6.841e+04,3.854e+04,1.610e+04,1.230e+05
161.6,6.231e+04,3.306e+04,1.492e+04,1.103e+05
163.1,5.779e+04,3.433e+04,1.394e+04,1.061e+05
164.7,5.870e+04,3.437e+04,1.500e+04,1.081e+05
166.2,5.925e+04,3.219e+04,1.525e+04,1.067e+05
167.8,5.239e+04,3.489e+04,1.351e+04,1.008e+05
169.3,5.254e+04,3.716e+04,1.390e+04,1.036e+05
170.8,5.304e+04,3.160e+04,1.436e+04,9.900e+04
172.4,5.144e+04,3.269e+04,1.324e+04,9.736e+04
173.9,4.622e+04,3.642e+04,1.264e+04,9.529e+04
175.5,3.952e+04,3.786e+04,1.072e+04,8.809e+04
177.0,3.469e+04,3.390e+04,9.364e+03,7.795e+04
178.5,3.296e+04,3.173e+04,8.488e+03,7.318e+04
180.1,3.101e+04,2.671e+04,8.359e+03,6.608e+04
181.6,3.079e+04,2.464e+04,8.263e+03,6.369e+04
183.2,3.125e+04,2.526e+04,8.252e+03,6.477e+04
184.7,2.500e+04,2.711e+04,6.563e+03,5.867e+04
186.2,2.084e+04,2.860e+04,5.915e+03,5.536e+04
187.8,1.910e+04,2.774e+04,5.582e+03,5.242e+04
189.3,1.849e+04,2.856e+04,5.238e+03,5.228e+04
190.8,1.957e+04,3.172e+04,5.408e+03,5.670e+04
192.4,1.978e+04,3.252e+04,5.722e+03,5.802e+04
193.9,1.758e+04,3.204e+04,5.152e+03,5.477e+04
195.5,1.562e+04,3.318e+04,4.338e+03,5.313e+04
197.0,5.176e+03,1.234e+04,1.534e+03,1.905e+04
