freq,psd_x,psd_y,psd_z,psd_xyz
136.4,2.360e+03,7.362e+02,1.143e+02,3.210e+03
137.9,2.466e+03,5.741e+02,1.182e+02,3.158e+03
139.4,2.702e+03,3.765e+02,1.591e+02,3.238e+03
140.9,2.970e+03,2.231e+02,2.201e+02,3.413e+03
142.3,2.758e+03,2.350e+02,2.479e+02,3.240e+03
143.8,3.067e+03,4.050e+02,2.274e+02,3.699e+03
145.3,4.310e+03,4.232e+02,2.466e+02,4.980e+03
146.8,4.287e+03,4.429e+02,2.424e+02,4.973e+03
148.3,4.403e+03,4.898e+02,2.489e+02,5.141e+03
149.8,5.228e+03,5.268e+02,2.657e+02,6.021e+03
151.2,6.373e+03,5.217e+02,3.075e+02,7.202e+03
152.7,6.926e+03,5.533e+02,3.362e+02,7.816e+03
154.2,7.420e+03,6.703e+02,2.841e+02,8.375e+03
155.7,8.971e+03,6.548e+02,2.354e+02,9.861e+03
157.2,1.023e+04,5.765e+02,2.321e+02,1.104e+04
158.7,1.212e+04,5.698e+02,2.909e+02,1.298e+04
160.1,1.347e+04,4.911e+02,3.521e+02,1.432e+04
161.6,1.456e+04,3.989e+02,3.902e+02,1.535e+04
163.1,1.586e+04,3.486e+02,4.698e+02,1.668e+04
164.6,1.577e+04,3.149e+02,5.072e+02,1.659e+04
166.1,1.790e+04,2.858e+02,5.728e+02,1.876e+04
167.5,2.136e+04,2.611e+02,6.611e+02,2.228e+04
169.0,2.257e+04,2.160e+02,7.164e+02,2.350e+04
170.5,2.350e+04,2.007e+02,7.715e+02,2.447e+04
172.0,2.405e+04,2.086e+02,8.529e+02,2.511e+04
173.5,2.461e+04,2.340e+02,1.003e+03,2.585e+04
175.0,2.879e+04,2.697e+02,1.148e+03,3.021e+04
176.4,2.763e+04,2.966e+02,1.195e+03,2.912e+04
177.9,2.624e+04,3.032e+02,1.288e+03,2.783e+04
179.4,2.381e+04,2.959e+02,1.318e+03,2.542e+04
180.9,2.203e+04,3.059e+02,1.256e+03,2.359e+04
182.4,2.218e+04,3.156e+02,1.263e+03,2.376e+04
