freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.624e+01,5.603e+02,3.605e+01,6.226e+02
1.5,4.243e+01,3.655e+02,5.107e+01,4.590e+02
3.0,3.944e+01,7.331e+01,4.076e+01,1.535e+02
4.5,4.105e+01,3.239e+02,4.372e+01,4.086e+02
6.0,4.083e+01,1.237e+03,4.159e+01,1.319e+03
7.5,3.921e+01,2.065e+03,4.240e+01,2.147e+03
9.0,4.113e+01,3.053e+03,4.306e+01,3.137e+03
10.5,4.190e+01,4.377e+03,4.280e+01,4.461e+03
12.0,4.133e+01,5.668e+03,4.424e+01,5.754e+03
13.5,3.984e+01,6.696e+03,4.116e+01,6.777e+03
15.0,3.899e+01,8.864e+03,3.839e+01,8.942e+03
16.5,4.557e+01,1.158e+04,3.723e+01,1.166e+04
18.0,4.927e+01,1.429e+04,4.077e+01,1.438e+04
19.5,4.551e+01,1.747e+04,4.663e+01,1.756e+04
21.0,5.677e+01,2.160e+04,4.449e+01,2.170e+04
22.5,7.484e+01,2.663e+04,4.804e+01,2.676e+04
24.0,9.905e+01,3.259e+04,5.749e+01,3.275e+04
25.5,1.315e+02,4.016e+04,6.216e+01,4.036e+04
27.0,1.865e+02,4.963e+04,7.602e+01,4.989e+04
28.5,2.676e+02,6.238e+04,1.074e+02,6.275e+04
30.0,3.850e+02,7.980e+04,1.666e+02,8.036e+04
31.5,5.565e+02,1.029e+05,2.691e+02,1.037e+05
33.0,8.947e+02,1.359e+05,4.762e+02,1.373e+05
34.5,1.508e+03,1.857e+05,8.686e+02,1.881e+05
36.0,2.154e+03,2.629e+05,1.732e+03,2.668e+05
37.5,3.133e+03,3.877e+05,3.533e+03,3.944e+05
39.0,5.089e+03,6.246e+05,7.537e+03,6.372e+05
40.5,1.072e+04,1.059e+06,1.344e+04,1.083e+06
42.0,2.550e+04,1.481e+06,1.363e+04,1.520e+06
43.5,4.377e+04,1.589e+06,8.723e+03,1.642e+06
45.0,5.166e+04,1.531e+06,7.990e+03,1.591e+06
46.5,4.585e+04,1.435e+06,1.103e+04,1.492e+06
48.0,3.933e+04,1.270e+06,1.576e+04,1.325e+06
49.5,3.687e+04,1.061e+06,2.143e+04,1.120e+06
51.0,3.776e+04,8.608e+05,2.675e+04,9.253e+05
52.5,3.802e+04,6.865e+05,3.570e+04,7.603e+05
54.0,3.595e+04,5.736e+05,6.037e+04,6.699e+05
55.5,3.294e+04,4.949e+05,9.472e+04,6.225e+05
57.0,2.604e+04,4.126e+05,1.272e+05,5.659e+05
58.5,1.467e+04,3.321e+05,1.470e+05,4.937e+05
60.0,1.083e+04,2.613e+05,1.378e+05,4.099e+05
61.5,1.008e+04,2.094e+05,1.121e+05,3.316e+05
63.0,7.696e+03,1.724e+05,7.177e+04,2.519e+05
64.5,6.610e+03,1.526e+05,3.937e+04,1.986e+05
65.9,7.237e+03,1.395e+05,2.499e+04,1.718e+05
67.4,8.316e+03,1.245e+05,1.974e+04,1.525e+05
68.9,1.039e+04,1.116e+05,1.338e+04,1.354e+05
70.4,1.345e+04,1.115e+05,5.664e+03,1.307e+05
71.9,1.531e+04,1.230e+05,3.929e+03,1.422e+05
73.4,1.464e+04,1.253e+05,8.440e+03,1.484e+05
74.9,1.167e+04,1.151e+05,1.375e+04,1.405e+05
76.4,9.760e+03,9.717e+04,1.701e+04,1.239e+05
77.9,8.723e+03,7.964e+04,1.577e+04,1.041e+05
79.4,7.051e+03,6.876e+04,1.287e+04,8.867e+04
80.9,5.105e+03,6.373e+04,1.114e+04,7.998e+04
82.4,3.824e+03,5.939e+04,1.050e+04,7.372e+04
83.9,3.697e+03,5.548e+04,1.005e+04,6.923e+04
85.4,4.195e+03,5.241e+04,9.525e+03,6.613e+04
86.9,5.222e+03,5.067e+04,8.846e+03,6.474e+04
88.4,6.441e+03,4.984e+04,8.016e+03,6.430e+04
89.9,6.936e+03,4.867e+04,7.157e+03,6.276e+04
91.4,6.415e+03,4.707e+04,6.008e+03,5.950e+04
92.9,5.865e+03,4.658e+04,5.027e+03,5.747e+04
94.4,5.303e+03,4.629e+04,4.210e+03,5.580e+04
95.9,4.676e+03,4.817e+04,3.336e+03,5.618e+04
97.4,4.235e+03,5.114e+04,2.777e+03,5.815e+04
98.9,3.833e+03,5.489e+04,2.333e+03,6.105e+04
100.4,3.505e+03,5.778e+04,2.039e+03,6.332e+04
101.9,3.427e+03,5.795e+04,1.969e+03,6.335e+04
103.4,3.603e+03,5.377e+04,2.017e+03,5.939e+04
104.9,4.058e+03,4.697e+04,1.990e+03,5.301e+04
106.4,5.863e+03,3.886e+04,2.065e+03,4.679e+04
107.9,8.473e+03,3.472e+04,2.564e+03,4.575e+04
109.4,1.185e+04,2.858e+04,2.241e+03,4.267e+04
110.9,1.526e+04,2.620e+04,2.075e+03,4.354e+04
112.4,1.963e+04,2.573e+04,2.098e+03,4.746e+04
113.9,2.316e+04,2.317e+04,2.524e+03,4.886e+04
115.4,2.198e+04,1.989e+04,3.303e+03,4.516e+04
116.9,1.759e+04,1.992e+04,3.284e+03,4.080e+04
118.4,1.391e+04,1.870e+04,2.763e+03,3.538e+04
119.9,1.121e+04,1.770e+04,2.394e+03,3.130e+04
121.4,1.126e+04,1.703e+04,2.531e+03,3.082e+04
122.9,1.237e+04,1.744e+04,2.660e+03,3.247e+04
124.4,1.249e+04,1.839e+04,2.341e+03,3.322e+04
125.9,1.249e+04,1.855e+04,2.238e+03,3.328e+04
127.4,1.331e+04,1.882e+04,2.387e+03,3.452e+04
128.9,1.464e+04,1.869e+04,2.650e+03,3.598e+04
130.4,1.589e+04,1.746e+04,3.037e+03,3.638e+04
131.9,1.349e+04,1.326e+04,2.673e+03,2.942e+04
133.4,5.244e+03,3.058e+03,8.615e+02,9.164e+03
134.9,2.918e+03,2.405e+02,3.468e+02,3.505e+03
